Code,Area,Year,Income,Net additions,Persons per dwelling,Rent,Waiting_list,Income/Rent ratio
E09000013,Hammersmith and Fulham,2005,26904.8,648.3000000000029,2.1935696202531645,3810.04,8384,7.0615531595468815
E09000014,Haringey,2005,20311.2,1170.684298007778,2.363618556701031,3809.52,19930,5.3316953316953315
E09000015,Harrow,2005,20264.4,658.1000000000058,2.6639638554216867,4043.0,4944,5.012218649517685
E09000016,Havering,2005,18543.2,464.4693386773579,2.3644791666666665,4021.68,3477,4.61080941298164
E09000017,Hillingdon,2005,25724.4,594.5,2.48940594059406,4100.72,7471,6.273142277453715
E09000018,Hounslow,2005,24341.2,858.1999999999971,2.4864,4064.32,10382,5.98899692937564
E09000019,Islington,2005,27450.8,877.3000000000029,2.084965909090909,3719.04,6326,7.381152125279642
E09000020,Kensington and Chelsea,2005,21668.4,77.69999999999709,1.9808823529411763,3641.56,9436,5.95030701128088
E09000021,Kingston upon Thames,2005,18590.0,330.59999999999854,2.382640625,4175.08,4903,4.452609291318969
E09000022,Lambeth,2005,24497.2,1368.0,2.2388709677419354,3619.72,10648,6.767705789398075
E09000023,Lewisham,2005,20347.6,1037.5,2.276160714285714,3713.32,18279,5.47962470242263
E09000024,Merton,2005,21044.4,270.1999999999971,2.3822875,3993.08,5188,5.270217476233885
E09000025,Newham,2005,23322.0,896.3999999999942,2.616474226804124,3973.84,25317,5.868882491494373
E09000026,Redbridge,2005,18803.2,762.1999999999971,2.59340206185567,4241.12,7941,4.433545855811673
E09000027,Richmond upon Thames,2005,21923.2,941.8000000000028,2.26885,3815.76,4898,5.745434723357863
E09000028,Southwark,2005,27040.0,1568.1000000000058,2.3375982142857143,3757.52,7548,7.196235815112095
E09000029,Sutton,2005,19510.4,144.39999999999418,2.334653846153846,3932.76,3724,4.960994314425492
E09000030,Tower Hamlets,2005,34881.6,2976.0,2.424795454545454,3849.56,21183,9.061191408888288
E09000031,Waltham Forest,2005,17435.600000000002,762.3000000000029,2.412202127659574,3862.04,8837,4.514608859566447
E09000032,Wandsworth,2005,22963.2,1362.6000000000058,2.247849206349206,4037.8,8668,5.6870573084352865
E09000033,Westminster,2005,28173.6,1980.699999999997,2.066037037037037,3959.8,6565,7.114904793171371
E09000001,City of London,2006,41688.4,1.1000000000003638,1.4508,3823.04,1427,10.904515778019586
